,Trial,Task_N,Cong_N,Type,TaskType,CongType,Cue,Color,ArrowDirectionRed=Right,ArrowDirectionRed=Left,Move Time[ms],Descision TIme[ms],X pos,Y pos,Is Green Right?,Current Time,Tester Name,Kindergarden Name,Is  Circle Right?,Name,KinderGarden Name,Age,Is Boy?,Is Right?
0,1,Arrow,Cong,,,,arrow,Red,right,left,-58875700,1949564600,1271.0,451.0,,2021-07-12 12:26:22.542622,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
1,2,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-72622100,1846041800,158.0,475.0,,2021-07-12 12:26:31.130785,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
2,3,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-63430000,2058197100,163.0,477.0,,2021-07-12 12:26:36.137463,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
3,4,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-59774800,1522218400,1260.0,461.0,,2021-07-12 12:26:41.619504,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
4,5,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-23239600,1485102200,1249.0,457.00000000000006,,2021-07-12 12:26:46.069132,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
5,6,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,-135696300,1440428400,136.0,461.0,,2021-07-12 12:26:50.289028,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
6,10,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-59205600,1558412000,177.00000000000003,462.0,,2021-07-12 12:26:55.148267,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
7,13,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-24431800,2670583500,1307.0,435.0,,2021-07-12 12:27:00.851231,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
8,18,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,2272895700,4879305200,162.0,456.00000000000006,,2021-07-12 12:27:11.177554,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
9,21,Color,Cong,RT_SC,R,S,rainbow,Green,left,right,-108145500,1705790100,1263.0,458.00000000000006,,2021-07-12 12:27:16.035697,<kivy.uix.textinput.TextInput object at 0x00000156EA02A4A0>,,1.0,10087 bel,<kivy.uix.textinput.TextInput object at 0x00000156EA02AA50>,7,False,True
