,Trial,Task_N,Cong_N,Type,TaskType,CongType,Cue,Color,ArrowDirectionRed=Right,ArrowDirectionRed=Left,Move Time[ms],Descision TIme[ms],X pos,Y pos,Is Green Right?,Current Time,Tester Name,Kindergarden Name,Is  Circle Right?,Name,KinderGarden Name,Age,Is Boy?,Is Right?
0,1,Arrow,Cong,,,,arrow,Red,right,left,-122020800,1221691200,1285.0,472.99999999999994,,2021-07-06 11:48:56.894883,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
1,2,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-96832100,1380186200,178.0,466.0,,2021-07-06 11:49:01.345752,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
2,3,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-85201400,1477720000,185.00000000000003,468.99999999999994,,2021-07-06 11:49:07.934343,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
3,4,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-148033100,1452791000,1265.0,475.0,,2021-07-06 11:49:13.632265,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
4,5,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-74998700,2668676200,1273.0,474.0,,2021-07-06 11:49:19.889566,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
5,6,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,4033618300,-1911469600,182.0,467.0,,2021-07-06 11:49:27.389986,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
6,10,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-110395600,3971874600,174.0,467.99999999999994,,2021-07-06 11:49:47.038401,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
7,13,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-158874900,2915722900,1276.0,466.0,,2021-07-06 11:49:53.864999,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
8,18,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,7713174700,-5367405000,182.0,468.99999999999994,,2021-07-06 11:50:05.242190,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
9,21,Color,Cong,RT_SC,R,S,rainbow,Green,left,right,6627135600,-2375779000,1252.0,440.0,,2021-07-06 11:50:12.086685,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
10,25,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,9790683000,-5542495000,164.0,478.0,,2021-07-06 11:50:22.083406,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
11,26,Color,Cong,ST_RC,S,R,rainbow,Green,left,right,-160008800,3812349900,1261.0,441.0,,2021-07-06 11:50:34.729271,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
12,27,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,4461383600,-1817173200,164.0,445.99999999999994,,2021-07-06 11:50:42.569242,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
13,31,Arrow,Cong,RT_SC,R,S,arrow,Red,right,left,-169014200,3703417600,1257.0,456.00000000000006,,2021-07-06 11:50:51.556757,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
14,33,Color,Cong,RT_RC,R,R,rainbow,Green,left,right,-180730000,3154552200,163.0,440.0,,2021-07-06 11:50:59.567253,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
15,34,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,6651671500,-1931142500,194.0,459.00000000000006,,2021-07-06 11:51:19.035437,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
16,35,Arrow,Cong,ST_SC,S,S,arrow,Green,left,right,-121786300,5727380300,1280.0,461.0,,2021-07-06 11:51:31.836139,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
17,37,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,4526170700,-1816993900,1267.0,446.99999999999994,,2021-07-06 11:51:41.241591,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
18,38,Arrow,Cong,ST_RC,S,R,arrow,Red,right,left,-123885500,4846481600,1279.0,446.99999999999994,,2021-07-06 11:51:53.863760,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
19,43,Arrow,Cong,ST_RC,S,R,arrow,Green,left,right,-123183000,4031535700,164.0,450.0,,2021-07-06 11:52:02.486757,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
20,44,Arrow,Cong,ST_SC,S,S,arrow,Red,right,left,-120354700,2267259800,1251.0,467.0,,2021-07-06 11:52:15.153840,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
21,45,Arrow,Cong,RT_RC,R,R,arrow,Green,left,right,-125007000,4417362200,182.0,450.0,,2021-07-06 11:52:28.462505,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
22,47,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-142359000,2222792100,1271.0,453.0,,2021-07-06 11:52:35.822153,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
23,48,Arrow,Cong,RT_RC,R,R,arrow,Green,left,right,10908577700,-5728156800,183.0,451.0,,2021-07-06 11:52:48.774192,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
24,49,Arrow,Cong,ST_RC,S,R,arrow,Red,right,left,-96945100,3163362200,1272.0,459.00000000000006,,2021-07-06 11:53:00.316259,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
25,50,Arrow,Cong,ST_SC,S,S,arrow,Green,left,right,7002665600,-1888980900,161.0,456.00000000000006,,2021-07-06 11:53:12.947957,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
26,55,Arrow,Cong,ST_SC,S,S,arrow,Red,right,left,-122676200,2947876000,1269.0,451.0,,2021-07-06 11:53:22.056762,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
27,56,Arrow,Cong,RT_RC,R,R,arrow,Green,left,right,-73329300,1927251200,140.0,439.0,,2021-07-06 11:53:33.241400,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
28,58,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,4702116600,-1889266500,188.0,461.0,,2021-07-06 11:53:41.511825,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
29,59,Color,Cong,ST_RC,S,R,rainbow,Green,left,right,7331232000,-5173124600,1271.0,466.0,,2021-07-06 11:53:49.113041,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
30,61,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,-134384600,3522089600,173.00000000000003,458.00000000000006,,2021-07-06 11:53:59.282489,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
31,62,Color,Cong,RT_RC,R,R,rainbow,Green,left,right,-120437500,2033309400,1269.0,469.99999999999994,,2021-07-06 11:54:09.169280,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
32,65,Arrow,Cong,ST_SC,S,S,arrow,Red,right,left,-133242100,1737297900,1262.0,446.99999999999994,,2021-07-06 11:54:16.063997,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
33,67,Arrow,Cong,ST_RC,S,R,arrow,Green,left,right,-123563200,2225828100,167.0,468.99999999999994,,2021-07-06 11:54:26.360836,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
34,68,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,-96382700,3528043200,1266.0,460.00000000000006,,2021-07-06 11:54:37.859809,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
35,73,Color,Cong,ST_RC,S,R,rainbow,Green,left,right,-182337800,3447896600,164.0,465.0,,2021-07-06 11:54:48.832505,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
36,76,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,4645112600,-1885494000,1233.0,459.00000000000006,,2021-07-06 11:54:57.403882,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
37,77,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-96200300,3508486900,185.00000000000003,471.99999999999994,,2021-07-06 11:55:08.038022,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
38,79,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-72430700,2397962600,1265.0,467.0,,2021-07-06 11:55:18.081881,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
39,82,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,-144110200,2983728800,1288.0,454.0,,2021-07-06 11:55:27.700162,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
40,83,Arrow,Cong,ST_RC,S,R,arrow,Green,left,right,12175566000,-8445642200,186.0,453.0,,2021-07-06 11:55:43.401326,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
41,84,Color,Cong,RT_RC,R,R,rainbow,Green,left,right,12461818800,-8356232700,1306.0,486.00000000000006,,2021-07-06 11:55:56.082225,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
42,86,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-184630700,3974542000,177.00000000000003,476.0,,2021-07-06 11:56:04.893396,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
43,88,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-96234200,15212982400,1285.0,470.99999999999994,,2021-07-06 11:56:30.533234,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
44,89,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-156954200,2629037400,1257.0,461.0,,2021-07-06 11:56:39.689090,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
45,92,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,6277814300,-4445144600,176.0,474.0,,2021-07-06 11:56:49.209609,<kivy.uix.textinput.TextInput object at 0x000002654A67F820>,,1.0,7630shira,<kivy.uix.textinput.TextInput object at 0x000002654A67FDD0>,6.6,False,True
