,Trial,Task_N,Cong_N,Type,TaskType,CongType,Cue,Color,ArrowDirectionRed=Right,ArrowDirectionRed=Left,Move Time[ms],Descision TIme[ms],X pos,Y pos,Is Green Right?,Current Time,Tester Name,Kindergarden Name,Is  Circle Right?,Name,KinderGarden Name,Age,Is Boy?,Is Right?
0,1,Arrow,Cong,,,,arrow,Red,right,left,-72756500,5955144300,1265.0,480.0,,2021-07-06 12:24:15.590588,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
1,2,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-48229600,4010739300,201.00000000000003,464.0,,2021-07-06 12:24:30.633217,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
2,3,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-73809800,1877911800,178.0,454.0,,2021-07-06 12:24:42.745319,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
3,4,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-87227000,1687364000,1291.0,477.0,,2021-07-06 12:24:51.393517,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
4,5,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-86020100,2604311900,1234.0,481.0,,2021-07-06 12:25:04.564488,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
5,6,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,-84752800,1603646900,153.0,458.00000000000006,,2021-07-06 12:25:09.132901,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
6,10,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-148723300,3563171100,213.00000000000003,476.0,,2021-07-06 12:25:20.359863,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
7,13,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-47878800,2393249000,1295.0,452.0,,2021-07-06 12:25:35.724827,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
8,18,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-110879300,2952441500,190.0,501.0,,2021-07-06 12:26:01.347748,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
9,21,Color,Cong,RT_SC,R,S,rainbow,Green,left,right,-59915600,1453030000,1272.0,456.00000000000006,,2021-07-06 12:26:16.020397,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
10,25,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-60698100,1757338600,190.0,465.0,,2021-07-06 12:26:36.685387,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
11,26,Color,Cong,ST_RC,S,R,rainbow,Green,left,right,-48204600,4351176000,1271.0,441.99999999999994,,2021-07-06 12:26:44.390654,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
12,27,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,-86208300,2328206300,161.0,436.0,,2021-07-06 12:26:51.639833,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
13,31,Arrow,Cong,RT_SC,R,S,arrow,Red,right,left,-71501000,2156367100,1278.0,475.0,,2021-07-06 12:27:17.238632,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
14,33,Color,Cong,RT_RC,R,R,rainbow,Green,left,right,-95412900,2542993700,1315.0,477.0,,2021-07-06 12:27:22.260580,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
15,34,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-60254900,1221803100,156.0,418.99999999999994,,2021-07-06 12:27:26.380185,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
16,35,Arrow,Cong,ST_SC,S,S,arrow,Green,left,right,-75324600,2417633900,1272.0,480.0,,2021-07-06 12:27:35.958157,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
17,37,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-134154000,2428164600,1289.0,465.0,,2021-07-06 12:27:46.026984,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
18,38,Arrow,Cong,ST_RC,S,R,arrow,Red,right,left,-61098300,2761655300,1242.0,442.99999999999994,,2021-07-06 12:28:00.819066,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
19,43,Arrow,Cong,ST_RC,S,R,arrow,Green,left,right,-60560200,1410002100,191.0,492.0,,2021-07-06 12:28:06.872166,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
20,44,Arrow,Cong,ST_SC,S,S,arrow,Red,right,left,-84743100,1244229000,1294.0,495.99999999999994,,2021-07-06 12:28:11.460800,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
21,45,Arrow,Cong,RT_RC,R,R,arrow,Green,left,right,-86459700,940863800,190.0,474.0,,2021-07-06 12:28:15.349560,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
22,47,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-72105700,1030324600,1254.0,472.99999999999994,,2021-07-06 12:28:24.321558,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
23,48,Arrow,Cong,RT_RC,R,R,arrow,Green,left,right,-60925100,1070848100,196.0,479.0,,2021-07-06 12:28:28.324366,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
24,49,Arrow,Cong,ST_RC,S,R,arrow,Red,right,left,-108161200,1120722000,1293.0,456.00000000000006,,2021-07-06 12:28:37.560805,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
25,50,Arrow,Cong,ST_SC,S,S,arrow,Green,left,right,-61814500,1042560300,164.0,460.00000000000006,,2021-07-06 12:28:44.953682,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
26,55,Arrow,Cong,ST_SC,S,S,arrow,Red,right,left,-98338600,937485100,1264.0,455.0,,2021-07-06 12:28:48.314104,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
27,56,Arrow,Cong,RT_RC,R,R,arrow,Green,left,right,-111520800,2154315600,192.0,469.99999999999994,,2021-07-06 12:28:55.697682,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
28,58,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,-60560600,1593597300,165.0,472.99999999999994,,2021-07-06 12:29:05.658889,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
29,59,Color,Cong,ST_RC,S,R,rainbow,Green,left,right,-59985700,1388352500,166.0,461.0,,2021-07-06 12:29:11.133450,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
30,61,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,-72227400,1761712000,161.0,439.0,,2021-07-06 12:29:24.602035,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
31,62,Color,Cong,RT_RC,R,R,rainbow,Green,left,right,-97735700,1441356100,1241.0,478.0,,2021-07-06 12:29:37.175210,<kivy.uix.textinput.TextInput object at 0x000001A5E009F820>,,1.0,7632nave,<kivy.uix.textinput.TextInput object at 0x000001A5E009FDD0>,6.6,True,True
