,Trial,Task_N,Cong_N,Type,TaskType,CongType,Cue,Color,ArrowDirectionRed=Right,ArrowDirectionRed=Left,Move Time[ms],Descision TIme[ms],X pos,Y pos,Is Green Right?,Current Time,Tester Name,Kindergarden Name,Is  Circle Right?,Name,KinderGarden Name,Age,Is Boy?,Is Right?
0,1,Arrow,Cong,,,,arrow,Red,right,left,-37244300,2864169500,1269.0,458.00000000000006,,2021-07-04 12:09:24.367407,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
1,2,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-59294000,1980200800,1279.0,467.99999999999994,,2021-07-04 12:09:29.826131,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
2,3,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-70327200,2768901400,164.0,453.0,,2021-07-04 12:09:43.221216,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
3,4,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-123905100,1097452500,157.0,492.0,,2021-07-04 12:09:53.135404,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
4,5,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-60306700,1880635100,1277.0,426.0,,2021-07-04 12:09:58.046190,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
5,6,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,2526506000,210500600,672.0,112.99999999999996,,2021-07-04 12:10:03.767238,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
6,10,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-60483000,1346210300,195.0,453.0,,2021-07-04 12:10:13.425342,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
7,13,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,6420988600,-5313767900,171.0,502.0,,2021-07-04 12:10:20.742969,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
8,18,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-136852100,2088746700,1263.0,465.0,,2021-07-04 12:10:27.071722,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
9,21,Color,Cong,RT_SC,R,S,rainbow,Green,left,right,-115730300,1390286800,143.0,469.99999999999994,,2021-07-04 12:10:31.623689,<kivy.uix.textinput.TextInput object at 0x0000021E3236F820>,,0.0,7635rei,<kivy.uix.textinput.TextInput object at 0x0000021E3236FDD0>,6.2,True,False
