,Trial,Task_N,Cong_N,Type,TaskType,CongType,Cue,Color,ArrowDirectionRed=Right,ArrowDirectionRed=Left,Move Time[ms],Descision TIme[ms],X pos,Y pos,Is Green Right?,Current Time,Tester Name,Kindergarden Name,Is  Circle Right?,Name,KinderGarden Name,Age,Is Boy?,Is Right?
0,1,Arrow,Cong,,,,arrow,Red,right,left,-123288700,3424415200,1288.0,463.0,,2021-07-05 09:23:39.371559,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
1,2,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-135125500,11947103400,170.0,460.00000000000006,,2021-07-05 09:24:20.092813,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
2,3,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-108694700,2235872700,177.00000000000003,475.0,,2021-07-05 09:24:25.413352,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
3,4,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,987300500,927810800,5.0,192.00000000000006,,2021-07-05 09:24:30.463204,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
4,5,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-155340900,2053893800,1303.0,461.0,,2021-07-05 09:24:35.578081,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
5,6,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,-95926500,697316600,62.0,60.999999999999964,,2021-07-05 09:24:43.514972,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
6,10,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-73357500,1393649900,187.0,465.0,,2021-07-05 09:24:54.221431,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
7,13,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-74221700,5382878400,1266.0,443.99999999999994,,2021-07-05 09:25:03.352749,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
8,18,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-72229700,2605357300,1275.0,454.0,,2021-07-05 09:25:10.556649,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
9,21,Color,Cong,RT_SC,R,S,rainbow,Green,left,right,-120892600,4387164600,160.0,454.0,,2021-07-05 09:25:20.744657,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
10,25,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-150025100,1836853500,1284.0,455.0,,2021-07-05 09:25:25.586542,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
11,26,Color,Cong,ST_RC,S,R,rainbow,Green,left,right,-72961800,1877929400,1285.0,456.00000000000006,,2021-07-05 09:25:30.610150,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
12,27,Color,Cong,RT_SC,R,S,rainbow,Red,right,left,-181933500,1428942600,1277.0,482.00000000000006,,2021-07-05 09:25:35.126912,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
13,31,Arrow,Cong,RT_SC,R,S,arrow,Red,right,left,-158415500,4052517400,1270.0,451.0,,2021-07-05 09:25:47.069542,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
14,33,Color,Cong,RT_RC,R,R,rainbow,Green,left,right,-60257200,1250593700,151.0,431.00000000000006,,2021-07-05 09:25:52.073732,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
15,34,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-109201300,3618599800,166.0,474.0,,2021-07-05 09:26:02.802360,<kivy.uix.textinput.TextInput object at 0x00000223E95EF820>,,1.0,7639adi,<kivy.uix.textinput.TextInput object at 0x00000223E95EFDD0>,6.10,False,True
